,cve_ent,desc_entidad,Cve_Mun,desc_municipio,id_indicador,indicador,2015,2020,unidad_medida,Lat_Decimal,Lon_Decimal,Altitud,Pob_Total,Pob_Masculina,Pob_Femenina,Total De Viviendas Habitadas
0,13,Hidalgo,1,Acatlán,6200240314,Porcentaje de la población de 15 años y más con instrucción media superior,12.79497,16.47215527,Porcentaje,20.145903,-98.438372,2130,405,192,213,107
1,13,Hidalgo,1,Acatlán,6200240365,Porcentaje de la población de 15 años y más con instrucción superior,5.1292921,7.370290499,Porcentaje,20.145903,-98.438372,2130,405,192,213,107
2,13,Hidalgo,1,Acatlán,6200240368,Porcentaje de la población de 15 años y más con instrucción no especificada,0.049456,0.057084866,Porcentaje,20.145903,-98.438372,2130,405,192,213,107
3,13,Hidalgo,1,Acatlán,6207019010,Porcentaje de población de 25 años y más alfabeta,82.317768,85.66436476,Porcentaje,20.145903,-98.438372,2130,405,192,213,107
4,13,Hidalgo,1,Acatlán,6207019020,Porcentaje de población de 15 años y más sin escolaridad,13.586265,11.67702651,Porcentaje,20.145903,-98.438372,2130,405,192,213,107
5,13,Hidalgo,1,Acatlán,6207019024,Porcentaje de la población de 3 a 5 años que asiste a la escuela,54.030501,52.05811138,Porcentaje,20.145903,-98.438372,2130,405,192,213,107
6,13,Hidalgo,1,Acatlán,6207019026,Porcentaje de la población de 6 a 11 años que asiste a la escuela,98.759904,94.47739066,Porcentaje,20.145903,-98.438372,2130,405,192,213,107
7,13,Hidalgo,1,Acatlán,6207019028,Porcentaje de la población de 12 a 14 años que asiste a la escuela,94.957386,88.89728097,Porcentaje,20.145903,-98.438372,2130,405,192,213,107
8,13,Hidalgo,1,Acatlán,6207019029,Porcentaje de la población de 15 a 24 años que asiste a la escuela,29.767828,36.05551108,Porcentaje,20.145903,-98.438372,2130,405,192,213,107
9,13,Hidalgo,1,Acatlán,6207019031,Porcentaje de población de 15 años y más con escolaridad básica,68.440017,64.42344285,Porcentaje,20.145903,-98.438372,2130,405,192,213,107
10,13,Hidalgo,2,Acaxochitlán,6200240314,Porcentaje de la población de 15 años y más con instrucción media superior,10.201439,12.07217201,Porcentaje,20.158693,-98.203244,2255,4026,1939,2087,946
11,13,Hidalgo,2,Acaxochitlán,6200240365,Porcentaje de la población de 15 años y más con instrucción superior,3.3309353,4.623315606,Porcentaje,20.158693,-98.203244,2255,4026,1939,2087,946
12,13,Hidalgo,2,Acaxochitlán,6200240368,Porcentaje de la población de 15 años y más con instrucción no especificada,0.1618705,0.032627492,Porcentaje,20.158693,-98.203244,2255,4026,1939,2087,946
13,13,Hidalgo,2,Acaxochitlán,6207019010,Porcentaje de población de 25 años y más alfabeta,74.443213,78.19640362,Porcentaje,20.158693,-98.203244,2255,4026,1939,2087,946
14,13,Hidalgo,2,Acaxochitlán,6207019020,Porcentaje de población de 15 años y más sin escolaridad,18.44964,15.68729812,Porcentaje,20.158693,-98.203244,2255,4026,1939,2087,946
15,13,Hidalgo,2,Acaxochitlán,6207019024,Porcentaje de la población de 3 a 5 años que asiste a la escuela,45.061148,45.16024603,Porcentaje,20.158693,-98.203244,2255,4026,1939,2087,946
16,13,Hidalgo,2,Acaxochitlán,6207019026,Porcentaje de la población de 6 a 11 años que asiste a la escuela,96.875474,96.72131148,Porcentaje,20.158693,-98.203244,2255,4026,1939,2087,946
17,13,Hidalgo,2,Acaxochitlán,6207019028,Porcentaje de la población de 12 a 14 años que asiste a la escuela,89.101575,85.02245029,Porcentaje,20.158693,-98.203244,2255,4026,1939,2087,946
18,13,Hidalgo,2,Acaxochitlán,6207019029,Porcentaje de la población de 15 a 24 años que asiste a la escuela,22.516973,25.39007092,Porcentaje,20.158693,-98.203244,2255,4026,1939,2087,946
19,13,Hidalgo,2,Acaxochitlán,6207019031,Porcentaje de población de 15 años y más con escolaridad básica,67.856115,67.58458677,Porcentaje,20.158693,-98.203244,2255,4026,1939,2087,946
20,13,Hidalgo,3,Actopan,6200240314,Porcentaje de la población de 15 años y más con instrucción media superior,22.427175,23.90319032,Porcentaje,20.269086,-98.942901,2003,29223,13720,15503,7314
21,13,Hidalgo,3,Actopan,6200240365,Porcentaje de la población de 15 años y más con instrucción superior,16.554502,21.18151815,Porcentaje,20.269086,-98.942901,2003,29223,13720,15503,7314
22,13,Hidalgo,3,Actopan,6200240368,Porcentaje de la población de 15 años y más con instrucción no especificada,0.2480719,0.167216722,Porcentaje,20.269086,-98.942901,2003,29223,13720,15503,7314
23,13,Hidalgo,3,Actopan,6207019010,Porcentaje de población de 25 años y más alfabeta,93.351152,95.03959276,Porcentaje,20.269086,-98.942901,2003,29223,13720,15503,7314
24,13,Hidalgo,3,Actopan,6207019020,Porcentaje de población de 15 años y más sin escolaridad,3.9961684,3.359735974,Porcentaje,20.269086,-98.942901,2003,29223,13720,15503,7314
25,13,Hidalgo,3,Actopan,6207019024,Porcentaje de la población de 3 a 5 años que asiste a la escuela,60.956652,60.15883521,Porcentaje,20.269086,-98.942901,2003,29223,13720,15503,7314
26,13,Hidalgo,3,Actopan,6207019026,Porcentaje de la población de 6 a 11 años que asiste a la escuela,98.827258,97.60072431,Porcentaje,20.269086,-98.942901,2003,29223,13720,15503,7314
27,13,Hidalgo,3,Actopan,6207019028,Porcentaje de la población de 12 a 14 años que asiste a la escuela,98.530821,95.84848485,Porcentaje,20.269086,-98.942901,2003,29223,13720,15503,7314
28,13,Hidalgo,3,Actopan,6207019029,Porcentaje de la población de 15 a 24 años que asiste a la escuela,47.41545,52.65609514,Porcentaje,20.269086,-98.942901,2003,29223,13720,15503,7314
29,13,Hidalgo,3,Actopan,6207019031,Porcentaje de población de 15 años y más con escolaridad básica,56.774083,51.38833883,Porcentaje,20.269086,-98.942901,2003,29223,13720,15503,7314
30,13,Hidalgo,4,Agua Blanca de Iturbide,6200240314,Porcentaje de la población de 15 años y más con instrucción media superior,14.130261,17.77687517,Porcentaje,20.349504,-98.356386,2183,2007,932,1075,498
31,13,Hidalgo,4,Agua Blanca de Iturbide,6200240365,Porcentaje de la población de 15 años y más con instrucción superior,4.5607297,7.947468183,Porcentaje,20.349504,-98.356386,2183,2007,932,1075,498
32,13,Hidalgo,4,Agua Blanca de Iturbide,6200240368,Porcentaje de la población de 15 años y más con instrucción no especificada,0.0960154,0.06769564,Porcentaje,20.349504,-98.356386,2183,2007,932,1075,498
33,13,Hidalgo,4,Agua Blanca de Iturbide,6207019010,Porcentaje de población de 25 años y más alfabeta,78.338343,84.62635991,Porcentaje,20.349504,-98.356386,2183,2007,932,1075,498
34,13,Hidalgo,4,Agua Blanca de Iturbide,6207019020,Porcentaje de población de 15 años y más sin escolaridad,16.034566,11.46764148,Porcentaje,20.349504,-98.356386,2183,2007,932,1075,498
35,13,Hidalgo,4,Agua Blanca de Iturbide,6207019024,Porcentaje de la población de 3 a 5 años que asiste a la escuela,50.647249,53.03867403,Porcentaje,20.349504,-98.356386,2183,2007,932,1075,498
36,13,Hidalgo,4,Agua Blanca de Iturbide,6207019026,Porcentaje de la población de 6 a 11 años que asiste a la escuela,98.745819,97.58131776,Porcentaje,20.349504,-98.356386,2183,2007,932,1075,498
37,13,Hidalgo,4,Agua Blanca de Iturbide,6207019028,Porcentaje de la población de 12 a 14 años que asiste a la escuela,94.548552,94.46202532,Porcentaje,20.349504,-98.356386,2183,2007,932,1075,498
38,13,Hidalgo,4,Agua Blanca de Iturbide,6207019029,Porcentaje de la población de 15 a 24 años que asiste a la escuela,33.500943,40.64080944,Porcentaje,20.349504,-98.356386,2183,2007,932,1075,498
39,13,Hidalgo,4,Agua Blanca de Iturbide,6207019031,Porcentaje de población de 15 años y más con escolaridad básica,65.178429,62.74031952,Porcentaje,20.349504,-98.356386,2183,2007,932,1075,498
40,13,Hidalgo,5,Ajacuba,6200240314,Porcentaje de la población de 15 años y más con instrucción media superior,17.807416,21.11662358,Porcentaje,20.092525,-99.122133,2143,7245,3546,3699,1831
41,13,Hidalgo,5,Ajacuba,6200240365,Porcentaje de la población de 15 años y más con instrucción superior,7.7825004,10.41157152,Porcentaje,20.092525,-99.122133,2143,7245,3546,3699,1831
